category,status,goal,funded percentage,duration
Film & Video,successful,50000,1.0296094,39.71
Music,successful,28000,1.2266625,30
Fashion,failed,3000,0.083333333,33.27
Film & Video,successful,3000,1.028333333,45.04
Art,successful,20000,1.21352,30
Music,successful,5000,1.111932,60
Film & Video,failed,6400,0.55875,13.51
Design,failed,3200,0.0015625,30
Music,successful,4000,1.07875,40.04
Film & Video,failed,50000,0.001,25.21
Film & Video,failed,5000,0,45.04
Music,failed,3000,0.026,30
Music,successful,1000,1,90
Music,successful,5000,1.0058,30
Film & Video,failed,10000,0.011,45
Publishing,failed,8500,0.187058824,60.04
Publishing,successful,1200,1.296666667,30
Publishing,failed,20000,0.0095,30
Film & Video,successful,17000,1.091764706,30
Music,successful,2000,1.7205,60
